"","state","age","cit","sex","educ","race","hisp","pwsswgt"
"1",50,85,1,2,8,1,2,339.9092
"2",40,40,1,2,6,1,2,2497.1111
"3",40,43,1,1,6,1,2,2410.0767
"4",8,42,1,2,5,1,2,3610.5711
"5",8,41,3,1,5,1,2,3625.2679
"6",1,24,1,1,5,1,2,4072.2412
"7",1,25,1,2,5,1,2,3299.3161
"8",5,41,1,1,2,1,2,1471.1814
"9",5,35,1,2,1,1,2,1441.867
"10",8,26,1,1,2,1,1,6391.9434
"11",40,41,1,1,4,1,2,2410.0767
"12",40,42,1,2,3,1,1,2850.5652
"13",15,54,1,1,4,1,2,864.5312
"14",15,65,1,2,2,1,2,626.2102
"15",1,39,1,1,5,1,2,3045.9448
"16",24,26,4,1,3,1,1,6716.2611
"17",24,33,4,2,2,1,1,3992.4573
"18",1,69,1,1,4,1,2,2122.6387
"19",1,67,1,2,3,1,2,1938.9957
"20",1,44,1,1,4,1,2,2488.0582
"21",5,68,1,1,2,1,2,1284.4742
"22",5,63,1,1,2,1,2,1319.8242
"23",5,23,1,2,3,1,2,1886.4981
"24",6,52,4,2,5,1,1,4535.8222
"25",6,58,4,1,1,1,1,4425.6022
"26",17,57,1,2,2,2,2,5004.84
"27",17,79,4,1,3,1,2,3881.3563
"28",17,73,4,2,2,1,2,4184.8443
"29",5,30,1,2,1,1,2,922.8173
"30",5,53,1,1,2,1,2,1570.1401
"31",5,51,1,2,2,1,2,1465.4838
"32",5,74,1,1,2,1,2,1316.8481
"33",1,23,1,2,4,1,2,3014.1124
"34",6,77,1,2,2,1,2,3107.7846
"35",6,32,1,1,3,1,2,4588.6748
"36",8,31,1,1,5,1,2,5087.3411
"37",8,43,1,2,6,1,2,3996.5273
"38",8,46,1,1,6,1,2,4928.0713
"39",8,19,3,1,2,1,2,4326.198
"40",6,71,1,1,2,1,2,3728.0299
"41",6,28,1,1,5,1,2,4808.3536
"42",1,79,1,1,2,1,2,2008.5253
"43",1,57,1,2,2,1,2,2260.6258
"44",6,28,1,2,5,4,2,5044.3089
"45",6,79,1,1,2,1,2,3301.231
"46",6,69,1,2,1,1,2,3492.2334
"47",6,78,1,1,2,1,2,3458.9666
"48",6,42,1,1,1,1,2,4886.5888
"49",30,20,1,1,3,1,2,960.0527
"50",1,72,1,1,6,1,2,2040.1695
"51",1,72,1,2,6,1,2,1870.6026
"52",5,55,1,2,6,4,2,2201.5536
"53",6,53,1,1,3,1,1,3742.0937
"54",6,29,1,1,3,1,1,3687.9662
"55",6,50,1,2,3,1,1,4379.9198
"56",47,77,1,2,3,1,2,3053.2457
"57",36,62,4,1,5,4,2,4598.18
"58",37,26,1,1,7,1,2,4885.7491
"59",5,80,1,2,2,1,2,1231.7537
"60",5,76,1,1,4,1,2,1410.6509
"61",50,73,1,1,4,1,2,408.605
"62",50,68,1,2,5,1,2,395.7968
"63",31,70,1,1,4,1,2,1237.1126
"64",37,73,1,1,5,1,2,3726.3348
"65",37,67,1,2,4,1,2,3339.0409
"66",37,49,1,1,2,1,2,4046.0563
"67",37,53,1,2,4,1,2,4023.4376
"68",6,25,1,2,3,1,2,4526.7182
"69",6,28,1,2,3,1,1,4138.9128
"70",6,26,1,1,1,1,2,4916.4768
"71",6,31,1,1,2,1,2,4676.7214
"72",6,31,1,2,2,1,2,4542.1552
"73",20,66,1,2,2,1,2,2078.0721
"74",20,73,1,1,1,1,2,2499.8545
"75",20,71,1,2,3,1,2,1471.6306
"76",20,46,1,2,3,1,2,1585.8751
"77",20,25,1,1,4,1,2,1826.2601
"78",20,30,1,2,4,1,2,1954.5807
"79",20,33,4,1,2,1,1,2464.5949
"80",20,79,1,1,3,1,2,1667.0493
"81",30,73,1,2,6,1,2,439.3528
"82",30,85,1,2,2,1,2,435.7319
"83",30,80,1,1,2,1,2,419.9014
"84",30,41,1,1,4,1,2,640.0336
"85",30,37,1,2,5,1,2,574.7293
"86",30,50,1,1,5,1,2,582.4992
"87",30,51,1,2,6,1,2,564.1497
"88",30,20,1,1,2,1,2,915.7803
"89",30,18,1,1,1,1,2,763.4105
"90",30,23,1,2,5,1,2,902.206
"91",30,23,1,1,1,1,2,617.8824
"92",30,22,3,2,1,1,1,805.0494
"93",30,36,1,2,4,1,2,574.3385
"94",30,39,1,1,3,1,2,605.7296
"95",30,85,1,2,3,1,2,371.0248
"96",30,75,1,2,3,1,2,465.1156
"97",40,74,1,1,5,1,2,2143.1753
"98",40,68,1,1,3,1,2,2625.7991
