"","rowID","start_date","end_date","progress","duration_in_seconds","finished","recorded_date","response_id","location_latitude","location_longitude","q1","q2","q3","q4","state_fips","q5","q6","q7","q8","q9","q10","q13_treat_time","q14","q16_control_time","q17","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28_1","q28_2","q28_3","q28_4","q28_5","q29","q30","q31","q32","q33","q34","q35","q36","q37","q38","q39","q40_1","q40_2","q40_3","q40_4","q40_5","q41_1","q41_2","q41_3","q41_4","q41_5","q41_6","q43_1","q43_2","q43_3","q43_4","q43_5","q43_6","q44_1","q44_2","q44_3","q44_4","q44_5","q44_6","q46_1","q46_2","q46_3","q46_4","q46_5","q46_6","q41.1","q41.2","q41.3","q41.4","q41.5","q41.6","q43.1","q43.2","q43.3","q43.4","q43.5","q43.6","q47","q48","q49","q50","q51","q52","q53","q54","q55","q56","q57","q58","gender","gender_3cat","age_cat","age_4cat","hisp","race","race2","race_wnw","race_hisp","educ","educ_4cat","milserv1","milserv2","milservfam","milrelation","mil_anyrelation","voted2020","voted2020.clps","choice2020","voteintent","partyid_3cat","partyid","partystr_rep","partystr_dem","partylean","ideo_3cat","ideo","ideolean","lucid_age","lucid_gender","lucid_hhi","lucid_ethnicity","lucid_hispanic","lucid_education","lucid_political_party","lucid_region","lucid_zip","lucid_rid","group","group.dummy","qset","popeff_qdo","q41.1.clps","q41.2.clps","q41.3.clps","q41.4.clps","q41.5.clps","q41.6.clps","q43.1.clps","q43.2.clps","q43.3.clps","q43.4.clps","q43.5.clps","q43.6.clps","q41.1.clps.dum","q41.2.clps.dum","q41.3.clps.dum","q41.4.clps.dum","q41.5.clps.dum","q41.6.clps.dum","q43.1.clps.dum","q43.2.clps.dum","q43.3.clps.dum","q43.4.clps.dum","q43.5.clps.dum","q43.6.clps.dum","trst.mean.scores","trst.sum.scores","trst.sum.rescaled","trst.zscores","eef.mean.scores","eef.sum.scores","eef.sum.rescaled","eef.zscores","q19.r","q20.r","q22.r","q23.r","q24.r","q30.r","q31.r","q33.r","q34.r","q35.r","q21.r","q32.r","q28_1.r","q28_2.r","q28_3.r","q28_4.r","q28_5.r","q40_1.r","q40_2.r","q40_3.r","q40_4.r","q40_5.r"
"1",1,2024-08-29 12:14:01,2024-08-29 12:17:20,100,199,"True",2024-08-29 12:17:21,"R_7kZyNp4r4nKx9W3","42.093","-79.244","I consent, begin the study",27,"Yes, U.S. citizen by birth","New York",36,"Sometimes","Somewhat unfavorable","Not legitimate","About half of the time","Watermelon",NA,NA,NA,16.886,"Yes","Not that much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat approve","Somewhat likely","Not too likely","Somewhat likely","Not too likely","Somewhat likely","Probably should not adopt","Somewhat","Not that much","Very","Very","Not that much",NA,"Somewhat","Not that much","Somewhat safe","Somewhat approve","Not too likely","Somewhat likely","Very likely","Not likely at all","Somewhat likely","Increase confidence a lot","Decrease confidence a lot","Decrease confidence somewhat","No impact on confidence","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot","Decrease confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Decrease confidence a lot","Decrease confidence somewhat","No impact on confidence","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot","Decrease confidence somewhat","No","Not likely at all","Somewhat likely","Not likely at all","Unsure","Unsure","Unsure","Unsure","False -- this is not the case at all","Unsure","Unsure","Unsure","Female","Female","25-34","18-34","No","White or Caucasian","White","White","White or Caucasian","Some college but no degree","Some college no degree","No",NA,"No","No relation","No relation","I'm sure I didn't vote","Didn't vote",NA,"Undecided","Republican","Republican","Strong",NA,NA,"Haven't thought much about this","Haven't thought much about this","None of these","27","2","1","1","1","4","7","1","14701","66d09e1b-656e-0af2-30ed-0d73849bca97","Control",0,"A",0,"Increase","Decrease","Decrease","No impact","No impact","Decrease","Increase","Increase","Decrease","No impact","Decrease","Decrease",1,0,0,0,0,0,1,1,0,0,0,0,2.83333333333333,17,0.611111111111111,-0.375277472801894,2.6,13,0.533333333333333,0.440956430150151,1,2,2,2,2,2,1,3,1,NA,2,3,-2,-1,-2,-1,-2,-1,-2,-3,0,-2
"2",2,2024-08-29 12:14:26,2024-08-29 12:17:25,100,178,"True",2024-08-29 12:17:26,"R_60VbNJIcyHx5rO1","33.5815","-85.0803","I consent, begin the study",70,"Yes, U.S. citizen by birth","Georgia",13,"Never","Somewhat favorable","Legitimate","Most of the time","Watermelon",NA,NA,NA,15.795,"Yes","Very","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Very","Somewhat approve","Very likely","Very likely","Very likely","Very likely","Very likely","Probably should adopt","Somewhat","Not that much","Somewhat","Not that much","Somewhat","Somewhat","Somewhat","Not that much","Somewhat safe","Somewhat approve","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","No impact on confidence","Increase confidence a lot","Increase confidence somewhat","Increase confidence a lot","No impact on confidence","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","Decrease confidence a lot","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence a lot","No impact on confidence","Increase confidence a lot","No impact on confidence","Increase confidence somewhat","Decrease confidence a lot","Decrease confidence somewhat","No impact on confidence","Decrease confidence somewhat","No impact on confidence","No","Somewhat likely","Somewhat likely","Somewhat likely","True -- this is the case","True -- this is the case","True -- this is the case","Unsure","Unsure","Unsure","True -- this is the case","True -- this is the case","Female","Female","65-74","55-74","No","White or Caucasian","White","White","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","H.S. or less","No",NA,"No","No relation","No relation","I think I voted","Unsure/Ineligible","Donald Trump","Yes","Republican","Republican","Strong",NA,NA,"Moderate: middle of the road","Moderate: middle of the road",NA,"70","2","1","1","1","2","10","3","30116","66d09e56-96e3-e13d-891b-0f5a7df0e02f","Control",0,"B",0,"Increase","Increase","Increase","No impact","Increase","No impact","Increase","Decrease","Decrease","No impact","Decrease","No impact",1,1,1,0,1,0,1,0,0,0,0,0,3.16666666666667,19,0.722222222222222,0.10679832353285,4,20,1,2.29903935211407,3,2,2,2,2,2,1,1,2,2,2,2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-2
"3",3,2024-08-29 12:14:21,2024-08-29 12:18:24,100,243,"True",2024-08-29 12:18:25,"R_5CrKsX3JdhSDbDH","35.8677","-86.4174","I consent, begin the study",38,"Yes, U.S. citizen by birth","Tennessee",47,"Always","Somewhat favorable","Legitimate","About half of the time","Watermelon",NA,25.291,"Yes",NA,NA,"Somewhat","Not that much","Somewhat","Very","Somewhat","Not that much","Not at all","Somewhat","Somewhat approve","Very likely","Somewhat likely","Very likely","Not too likely","Not too likely","Probably should not adopt","Somewhat","Not that much","Somewhat","Very","Very","Somewhat","Very","Somewhat","Somewhat safe","Strongly approve","Somewhat likely","Somewhat likely","Not likely at all","Very likely","Very likely","Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","Yes","Somewhat likely","Not too likely","Somewhat likely","True -- this is the case","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","True -- this is the case","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","True -- this is the case","More false than true -- this is mostly not the case, but not completely false","Female","Female","35-44","35-54","No","White or Caucasian","White","White","White or Caucasian","Some college but no degree","Some college no degree","No",NA,"No","No relation","No relation","I think I voted","Unsure/Ineligible","Joe Biden","Yes","Democrat","Democrat",NA,"Strong",NA,"Liberal","Extremely Liberal",NA,"38","2","1","1","1","2","3","3","37130","66d09e3f-69b7-17d6-c9f2-3c5028bb3125","Treatment",1,"A",1,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Decrease","Decrease","No impact","Increase",1,1,1,1,1,1,1,1,0,0,0,1,2.83333333333333,17,0.611111111111111,-0.375277472801894,3,15,0.666666666666667,0.971837264996986,2,1,3,2,1,2,1,3,3,2,2,2,-3,-2,-3,-1,-1,-2,-2,0,-3,-3
"4",4,2024-08-29 12:14:55,2024-08-29 12:19:25,100,269,"True",2024-08-29 12:19:26,"R_70Zrgk200rpKI3L","43.0135","-78.9763","I consent, begin the study",33,"Yes, U.S. citizen by birth","New York",36,"About half the time","Somewhat favorable","Legitimate","Most of the time","Watermelon",NA,26.482,"Yes",NA,NA,"Not that much","Not that much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat disapprove","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Probably should adopt","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Not that much","Somewhat","Somewhat safe","Somewhat approve","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","Decrease confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","No impact on confidence","No","Not too likely","Not likely at all","Not likely at all","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","Female","Female","25-34","18-34","No","White or Caucasian","White","White","White or Caucasian","Master's degree","Postgraduate degree","No",NA,"No","No relation","No relation","Yes, I'm sure I voted","Voted","Joe Biden","Yes","Democrat","Democrat",NA,"Strong",NA,"Liberal","Slightly liberal",NA,"33","2","7","1","1","7","3","1","14072","66d09e64-7572-4a27-f8a1-23b47f9817fd","Treatment",1,"B",1,"Increase","No impact","No impact","No impact","No impact","No impact","No impact","No impact","Decrease","Decrease","No impact","No impact",1,0,0,0,0,0,0,0,0,0,0,0,2.66666666666667,16,0.555555555555556,-0.616315370969266,3,15,0.666666666666667,0.971837264996986,1,1,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
"5",5,2024-08-29 12:13:10,2024-08-29 12:19:59,100,408,"True",2024-08-29 12:19:59,"R_7azDHlTtVyV1D6w","37.6538","-122.4257","I consent, begin the study",30,"Yes, U.S. citizen by naturalization","California",6,"Most of the time","Somewhat unfavorable","Legitimate","About half of the time","Watermelon",NA,31.318,"Yes",NA,NA,"Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Not that much","Very","Not at all","Somewhat approve","Somewhat likely","Somewhat likely","Not too likely","Not too likely","Not too likely","Probably should adopt","Not that much","Not that much","Not that much","Not that much","Not that much","Not that much","Very","Not at all","Not safe at all","Somewhat approve","Somewhat likely","Somewhat likely","Not too likely","Not too likely","Not too likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No","Not too likely","Somewhat likely","Not too likely","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","Female","Female","25-34","18-34","No","Asian","Asian","Non-White","Asian","Bachelor's degree in college (4-year)","College degree","No",NA,"No","No relation","No relation","I don't think I voted","Didn't vote","Other","Undecided","Democrat","Democrat",NA,"Not very strong",NA,"Liberal","Slightly liberal",NA,"30","2","4","5","1","6","2","4","94401","66d09e0e-3671-e766-00bc-080ba30c040e","Treatment",1,"B",1,"Increase","Increase","Increase","Increase","Increase","No impact","Increase","Increase","No impact","No impact","No impact","No impact",1,1,1,1,1,0,1,1,0,0,0,0,2.83333333333333,17,0.611111111111111,-0.375277472801894,2.4,12,0.466666666666667,0.175516012726734,2,2,2,2,1,1,1,1,1,1,2,1,-2,-2,-1,-1,-1,-2,-2,-1,-1,-1
"6",6,2024-08-29 12:13:44,2024-08-29 12:20:33,100,408,"True",2024-08-29 12:20:33,"R_7M5w298r7oI8xv6","42.2903","-71.0798","I consent, begin the study",35,"Yes, U.S. citizen by birth","Massachusetts",25,"About half the time","Neither favorable nor unfavorable","Legitimate","About half of the time","Watermelon",NA,23.11,"Yes",NA,NA,"Not at all","Not at all","Not that much","Not that much","Not that much","Not at all","Somewhat","Somewhat","Strongly disapprove","Somewhat likely","Somewhat likely","Somewhat likely","Not too likely","Not too likely","Definitely should not adopt","Somewhat","Somewhat","Not that much","Somewhat","Somewhat","Somewhat","Not that much","Somewhat","Somewhat safe",NA,"Not too likely","Not too likely","Somewhat likely","Not likely at all","Not too likely","Increase confidence a lot","Increase confidence a lot","No impact on confidence","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot","Increase confidence somewhat","No impact on confidence","No impact on confidence","Decrease confidence somewhat","No impact on confidence","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Increase confidence a lot","No impact on confidence","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot","Increase confidence somewhat","No impact on confidence","No impact on confidence","Decrease confidence somewhat","No impact on confidence","No impact on confidence","No","Not likely at all","Not likely at all","Not likely at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","Unsure","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","Female","Female","35-44","35-54","No","Black or African American","Black","Non-White","Black or African American","Bachelor's degree in college (4-year)","College degree","No",NA,"No","No relation","No relation","Yes, I'm sure I voted","Voted","Joe Biden","Yes","Democrat","Democrat",NA,"Strong",NA,"Liberal","Extremely Liberal",NA,"35","2","16","15","1","6","1","1","02474","66d09e33-755f-e5c9-22f7-c5f080ac571e","Treatment",1,"A",0,"Increase","Increase","No impact","Decrease","No impact","Decrease","Increase","No impact","No impact","Decrease","No impact","No impact",1,1,0,0,0,0,1,0,0,0,0,0,1.5,9,0.166666666666667,-2.30358065814087,2.6,13,0.533333333333333,0.440956430150151,0,0,1,1,0,2,2,2,2,2,1,1,-2,-2,-2,-1,-1,-1,-1,-2,0,-1
"7",7,2024-08-29 12:16:06,2024-08-29 12:21:01,100,295,"True",2024-08-29 12:21:02,"R_7PpjHLzAFgm8clK","37.7548","-84.2985","I consent, begin the study",46,"Yes, U.S. citizen by birth","Kentucky",21,"Sometimes","Neither favorable nor unfavorable","Legitimate","About half of the time","Grape","Watermelon",NA,NA,16.067,"No","Somewhat","Somewhat","Not that much","Not that much","Somewhat","Very","Somewhat","Not at all","Somewhat disapprove","Not likely at all","Very likely","Not too likely","Not too likely","Very likely","Definitely should not adopt","Somewhat","Very","Somewhat","Not that much","Not at all","Somewhat","Not at all","Not that much","Not too safe","Strongly approve","Very likely","Not likely at all","Not too likely","Very likely","Very likely","Increase confidence a lot","No impact on confidence","No impact on confidence","Decrease confidence somewhat","Increase confidence a lot","Increase confidence a lot","Decrease confidence a lot","No impact on confidence","Decrease confidence a lot","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","No impact on confidence","No impact on confidence","Decrease confidence somewhat","Increase confidence a lot","Increase confidence a lot","Decrease confidence a lot","No impact on confidence","Decrease confidence a lot","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot","Yes","Somewhat likely","Very likely","Somewhat likely","True -- this is the case","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","Male","Male","45-54","35-54","No","White or Caucasian","White","White","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","H.S. or less","No",NA,"Yes","Only family","Some relation","I'm sure I didn't vote","Didn't vote",NA,"No","Republican","Republican","Not very strong",NA,NA,"Liberal","Liberal",NA,"50","2","1","1","1","1","5","3","40475","66d09ebf-3400-4355-9ded-01d192137135","Control",0,"A",1,"Increase","No impact","No impact","Decrease","Increase","Increase","Decrease","No impact","Decrease","Decrease","No impact","Decrease",1,0,0,0,1,1,0,0,0,0,0,0,2.83333333333333,17,0.611111111111111,-0.375277472801894,2.6,13,0.533333333333333,0.440956430150151,2,2,1,2,3,2,3,1,0,2,1,2,0,-3,-1,-1,-3,-3,0,-1,-3,-3
"8",8,2024-08-29 12:13:55,2024-08-29 12:21:25,100,450,"True",2024-08-29 12:21:26,"R_1G3ZtCa1EIgRpds","37.2849","-80.0701","I consent, begin the study",60,"Yes, U.S. citizen by birth","Virginia",51,"Always","Neither favorable nor unfavorable","Legitimate","Some of the time","Watermelon",NA,NA,NA,28.308,"Yes","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Not that much","Somewhat","Somewhat approve","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Probably should adopt","Very","Very","Very","Very","Very","Very","Not that much","Somewhat","Very safe","Strongly approve","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely at all","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No","Not too likely","Not too likely","Not too likely","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","Male","Male","55-64","55-74","No","White or Caucasian","White","White","White or Caucasian","Bachelor's degree in college (4-year)","College degree","No",NA,"Yes","Only family","Some relation","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Republican","Strong",NA,NA,"Conservative","Conservative",NA,"60","1","15","1","1","6","10","3","24015","66d09e35-7168-4ffd-d513-da57e9c0ae7e","Control",0,"A",1,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase",1,1,1,1,1,1,1,1,1,1,1,1,3,18,0.666666666666667,-0.134239574634522,3,15,0.666666666666667,0.971837264996986,2,2,2,2,2,3,3,3,3,3,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
"9",9,2024-08-29 12:13:50,2024-08-29 12:21:40,100,470,"True",2024-08-29 12:21:41,"R_808LNeUuKTmXE2t","44.5468","-94.1925","I consent, begin the study",70,"Yes, U.S. citizen by birth","Minnesota",27,"Most of the time","Somewhat unfavorable","Not legitimate","Most of the time","Watermelon",NA,24.701,"Yes",NA,NA,"Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Not that much","Somewhat","Somewhat approve","Not too likely","Not too likely","Not too likely","Not too likely","Not too likely","Probably should adopt","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Not that much","Somewhat","Somewhat safe","Somewhat approve","Not too likely","Not too likely","Not too likely","Not too likely","Not too likely","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","No","Not too likely","Not too likely","Not too likely","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","Male","Male","65-74","55-74","No","White or Caucasian","White","White","White or Caucasian","Associate degree in college (2-year)","College degree","No",NA,"No","No relation","No relation","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Republican","Not very strong",NA,NA,"Conservative","Conservative",NA,"70","1","14","1","1","3","4","2","55334","66d09e2c-e5a3-8a48-8daa-cb122cb0dd98","Treatment",1,"A",1,"Increase","No impact","Increase","Increase","No impact","No impact","Increase","No impact","No impact","Increase","No impact","No impact",1,0,1,1,0,0,1,0,0,1,0,0,3,18,0.666666666666667,-0.134239574634522,2,10,0.333333333333333,-0.355364822120101,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10",10,2024-08-29 12:14:24,2024-08-29 12:21:47,100,443,"True",2024-08-29 12:21:48,"R_7OTyKBibMoIoPkA","37.0701","-88.6769","I consent, begin the study",59,"Yes, U.S. citizen by birth","Kentucky",21,"Sometimes","Somewhat favorable","Legitimate","Some of the time","Watermelon",NA,NA,NA,33.802,"Yes","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Not that much","Somewhat","Somewhat approve","Not too likely","Not too likely","Somewhat likely","Not too likely","Not too likely","Probably should adopt","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat safe","Somewhat approve","Not too likely","Not too likely","Not too likely","Not too likely","Not too likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease confidence somewhat","No impact on confidence","Decrease confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","No","Not likely at all","Not likely at all","Not likely at all","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","Male","Male","55-64","55-74","No","White or Caucasian","White","White","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","H.S. or less","No",NA,"Yes","Only family","Some relation","I was not eligible to vote","Unsure/Ineligible",NA,"Undecided","Republican","Republican","Not very strong",NA,NA,"Moderate: middle of the road","Moderate: middle of the road",NA,"59","1","1","1","1","2","9","3","42001","66d09e57-93f2-819b-b6b4-217e4fd1cab2","Control",0,"B",1,"Decrease","Decrease","Decrease","No impact","Decrease","Decrease","No impact","Increase","Increase","Increase","Decrease","Increase",0,0,0,0,0,0,0,1,1,1,0,1,3,18,0.666666666666667,-0.134239574634522,2.2,11,0.4,-0.0899244046966838,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1
