"","rowID","response_id","lucid_rid","gender","gender_3cat","hisp","race","educ","milserv1","milserv2","milservfam","voted2020","voted2020.clps","choice2020","voteintent","partyid_3cat","partyid","partystr_rep","partystr_dem","partylean","ideo","ideolean","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q13_treat_time","q14","q16_control_time","q17","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28_1","q28_2","q28_3","q28_4","q28_5","q29","q30","q31","q32","q33","q34","q35","q36","q37","q38","q39","q40_1","q40_2","q40_3","q40_4","q40_5","q41_1","q41_2","q41_3","q41_4","q41_5","q41_6","q43_1","q43_2","q43_3","q43_4","q43_5","q43_6","q44_1","q44_2","q44_3","q44_4","q44_5","q44_6","q46_1","q46_2","q46_3","q46_4","q46_5","q46_6","q47","q48","q49","q50","q51","q52","q53","q54","q55","q56","q57","q58","lucid_age","lucid_gender","lucid_hhi","lucid_ethnicity","lucid_hispanic","lucid_education","lucid_political_party","lucid_region","lucid_zip","group","qset","popeff_qdo","q19.clps","q20.clps","q21.clps","q22.clps","q23.clps","q24.clps","q25.clps","q26.clps","q27.clps","q28_1.clps","q28_2.clps","q28_3.clps","q28_4.clps","q28_5.clps","q29.clps","q30.clps","q31.clps","q32.clps","q33.clps","q34.clps","q35.clps","q36.clps","q37.clps","q38.clps","q39.clps","q40_1.clps","q40_2.clps","q40_3.clps","q40_4.clps","q40_5.clps","q41_1.clps","q41_2.clps","q41_3.clps","q41_4.clps","q41_5.clps","q41_6.clps","q43_1.clps","q43_2.clps","q43_3.clps","q43_4.clps","q43_5.clps","q43_6.clps","q44_1.clps","q44_2.clps","q44_3.clps","q44_4.clps","q44_5.clps","q44_6.clps","q46_1.clps","q46_2.clps","q46_3.clps","q46_4.clps","q46_5.clps","q46_6.clps","q41.1","q41.2","q41.3","q41.4","q41.5","q41.6","q43.1","q43.2","q43.3","q43.4","q43.5","q43.6","q41.1.clps","q41.2.clps","q41.3.clps","q41.4.clps","q41.5.clps","q41.6.clps","q43.1.clps","q43.2.clps","q43.3.clps","q43.4.clps","q43.5.clps","q43.6.clps","q41.1.clps.dum","q41.2.clps.dum","q41.3.clps.dum","q41.4.clps.dum","q41.5.clps.dum","q41.6.clps.dum","q43.1.clps.dum","q43.2.clps.dum","q43.3.clps.dum","q43.4.clps.dum","q43.5.clps.dum","q43.6.clps.dum"
"1",1,"R_7kZyNp4r4nKx9W3","66d09e1b-656e-0af2-30ed-0d73849bca97","Female","Female","No","White or Caucasian","Some college but no degree","No",NA,"No","I'm sure I didn't vote","Didn't vote",NA,"Undecided","Republican","Republican","Strong",NA,NA,"Haven't thought much about this","None of these","I consent, begin the study",27,"Yes, U.S. citizen by birth","New York","Sometimes","Somewhat unfavorable","Not legitimate","About half of the time","Watermelon",NA,NA,NA,16.886,"Yes","Not too confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat concerned","Somewhat confident","Somewhat approve","Somewhat likely","Not too likely","Somewhat likely","Not too likely","Somewhat likely","Probably should not adopt","Somewhat confident","Not too confident","Very committed","Very confident","Not too confident",NA,"Somewhat concerned","Not too confident","Somewhat safe","Somewhat approve","Not too likely","Somewhat likely","Very likely","Not likely at all","Somewhat likely","Increase confidence a lot","Decrease confidence a lot","Decrease confidence somewhat","No impact on confidence","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot","Decrease confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not likely at all","Somewhat likely","Not likely at all","Unsure","Unsure","Unsure","Unsure","False -- this is not the case at all","Unsure","Unsure","Unsure","27","2","1","1","1","4","7","1","14701","Control","A",0,"Not_confident","Confident","committed","Confident","Confident","Confident","concerned","Confident","approve","Likely","Not_likely","Likely","Not_likely","Likely","oppose","Confident","Not_confident","committed","Confident","Not_confident",NA,"concerned","Not_confident","safe","approve","Not_likely","Likely","Likely","Not_likely","Likely","increase","decrease","decrease","no_impact","no_impact","decrease","increase","increase","decrease","no_impact","decrease","decrease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Decrease confidence a lot","Decrease confidence somewhat","No impact on confidence","No impact on confidence","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot","Decrease confidence somewhat","increase","decrease","decrease","no_impact","no_impact","decrease","increase","increase","decrease","no_impact","decrease","decrease",1,0,0,0,0,0,1,1,0,0,0,0
"2",2,"R_60VbNJIcyHx5rO1","66d09e56-96e3-e13d-891b-0f5a7df0e02f","Female","Female","No","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","No",NA,"No","I think I voted","Unsure/Ineligible","Donald Trump","Yes","Republican","Republican","Strong",NA,NA,"Moderate: middle of the road",NA,"I consent, begin the study",70,"Yes, U.S. citizen by birth","Georgia","Never","Somewhat favorable","Legitimate","Most of the time","Watermelon",NA,NA,NA,15.795,"Yes","Very confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat concerned","Very confident","Somewhat approve","Very likely","Very likely","Very likely","Very likely","Very likely","Probably should adopt","Somewhat confident","Not too confident","Somewhat committed","Not too confident","Somewhat confident","Somewhat confident","Somewhat concerned","Not too confident","Somewhat safe","Somewhat approve","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","No impact on confidence","Increase confidence a lot","Increase confidence somewhat","Increase confidence a lot","No impact on confidence","Increase confidence somewhat","No impact on confidence","Decrease confidence somewhat","Decrease confidence a lot","No impact on confidence","Decrease confidence somewhat","No","Somewhat likely","Somewhat likely","Somewhat likely","True -- this is the case","True -- this is the case","True -- this is the case","Unsure","Unsure","Unsure","True -- this is the case","True -- this is the case","70","2","1","1","1","2","10","3","30116","Control","B",0,"Confident","Confident","committed","Confident","Confident","Confident","concerned","Confident","approve","Likely","Likely","Likely","Likely","Likely","support","Confident","Not_confident","committed","Not_confident","Confident","Confident","concerned","Not_confident","safe","approve","Likely","Likely","Likely","Likely","Likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"increase","no_impact","increase","increase","increase","no_impact","increase","no_impact","decrease","decrease","no_impact","decrease","Increase confidence somewhat","Increase confidence somewhat","Increase confidence a lot","No impact on confidence","Increase confidence a lot","No impact on confidence","Increase confidence somewhat","Decrease confidence a lot","Decrease confidence somewhat","No impact on confidence","Decrease confidence somewhat","No impact on confidence","increase","increase","increase","no_impact","increase","no_impact","increase","decrease","decrease","no_impact","decrease","no_impact",1,1,1,0,1,0,1,0,0,0,0,0
"3",3,"R_5CrKsX3JdhSDbDH","66d09e3f-69b7-17d6-c9f2-3c5028bb3125","Female","Female","No","White or Caucasian","Some college but no degree","No",NA,"No","I think I voted","Unsure/Ineligible","Joe Biden","Yes","Democrat","Democrat",NA,"Strong",NA,"Extremely Liberal",NA,"I consent, begin the study",38,"Yes, U.S. citizen by birth","Tennessee","Always","Somewhat favorable","Legitimate","About half of the time","Watermelon",NA,25.291,"Yes",NA,NA,"Somewhat confident","Not too confident","Somewhat committed","Very confident","Somewhat confident","Not too confident","Not at all concerned","Somewhat confident","Somewhat approve","Very likely","Somewhat likely","Very likely","Not too likely","Not too likely","Probably should not adopt","Somewhat confident","Not too confident","Somewhat committed","Very confident","Very confident","Somewhat confident","Very concerned","Somewhat confident","Somewhat safe","Strongly approve","Somewhat likely","Somewhat likely","Not likely at all","Very likely","Very likely","Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat likely","Not too likely","Somewhat likely","True -- this is the case","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","True -- this is the case","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","True -- this is the case","More false than true -- this is mostly not the case, but not completely false","38","2","1","1","1","2","3","3","37130","Treatment","A",1,"Confident","Not_confident","committed","Confident","Confident","Not_confident","not_concerned","Confident","approve","Likely","Likely","Likely","Not_likely","Not_likely","oppose","Confident","Not_confident","committed","Confident","Confident","Confident","concerned","Confident","safe","approve","Likely","Likely","Not_likely","Likely","Likely","increase","increase","increase","increase","increase","increase","increase","increase","decrease","decrease","no_impact","increase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","Increase confidence a lot","Increase confidence a lot","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","increase","increase","increase","increase","increase","increase","increase","increase","decrease","decrease","no_impact","increase",1,1,1,1,1,1,1,1,0,0,0,1
"4",4,"R_70Zrgk200rpKI3L","66d09e64-7572-4a27-f8a1-23b47f9817fd","Female","Female","No","White or Caucasian","Master's degree","No",NA,"No","Yes, I'm sure I voted","Voted","Joe Biden","Yes","Democrat","Democrat",NA,"Strong",NA,"Slightly liberal",NA,"I consent, begin the study",33,"Yes, U.S. citizen by birth","New York","About half the time","Somewhat favorable","Legitimate","Most of the time","Watermelon",NA,26.482,"Yes",NA,NA,"Not too confident","Not too confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat concerned","Somewhat confident","Somewhat disapprove","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Probably should adopt","Somewhat confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Not too concerned","Somewhat confident","Somewhat safe","Somewhat approve","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","Decrease confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","Decrease confidence somewhat","No","Not too likely","Not likely at all","Not likely at all","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","33","2","7","1","1","7","3","1","14072","Treatment","B",1,"Not_confident","Not_confident","committed","Confident","Confident","Confident","concerned","Confident","disapprove","Likely","Likely","Likely","Likely","Likely","support","Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","safe","approve","Likely","Likely","Likely","Likely","Likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"increase","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","decrease","no_impact","no_impact","no_impact","decrease","Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","No impact on confidence","increase","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","no_impact","decrease","decrease","no_impact","no_impact",1,0,0,0,0,0,0,0,0,0,0,0
"5",5,"R_7azDHlTtVyV1D6w","66d09e0e-3671-e766-00bc-080ba30c040e","Female","Female","No","Asian","Bachelor's degree in college (4-year)","No",NA,"No","I don't think I voted","Didn't vote","Other","Undecided","Democrat","Democrat",NA,"Not very strong",NA,"Slightly liberal",NA,"I consent, begin the study",30,"Yes, U.S. citizen by naturalization","California","Most of the time","Somewhat unfavorable","Legitimate","About half of the time","Watermelon",NA,31.318,"Yes",NA,NA,"Somewhat confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Not too confident","Very concerned","Not at all confident","Somewhat approve","Somewhat likely","Somewhat likely","Not too likely","Not too likely","Not too likely","Probably should adopt","Not too confident","Not too confident","Not too committed","Not too confident","Not too confident","Not too confident","Very concerned","Not at all confident","Not safe at all","Somewhat approve","Somewhat likely","Somewhat likely","Not too likely","Not too likely","Not too likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","No","Not too likely","Somewhat likely","Not too likely","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","30","2","4","5","1","6","2","4","94401","Treatment","B",1,"Confident","Confident","committed","Confident","Confident","Not_confident","concerned","Not_confident","approve","Likely","Likely","Not_likely","Not_likely","Not_likely","support","Not_confident","Not_confident","not_committed","Not_confident","Not_confident","Not_confident","concerned","Not_confident","unsafe","approve","Likely","Likely","Not_likely","Not_likely","Not_likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"increase","increase","increase","increase","increase","no_impact","increase","no_impact","no_impact","increase","no_impact","no_impact","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","No impact on confidence","No impact on confidence","increase","increase","increase","increase","increase","no_impact","increase","increase","no_impact","no_impact","no_impact","no_impact",1,1,1,1,1,0,1,1,0,0,0,0
"6",6,"R_7M5w298r7oI8xv6","66d09e33-755f-e5c9-22f7-c5f080ac571e","Female","Female","No","Black or African American","Bachelor's degree in college (4-year)","No",NA,"No","Yes, I'm sure I voted","Voted","Joe Biden","Yes","Democrat","Democrat",NA,"Strong",NA,"Extremely Liberal",NA,"I consent, begin the study",35,"Yes, U.S. citizen by birth","Massachusetts","About half the time","Neither favorable nor unfavorable","Legitimate","About half of the time","Watermelon",NA,23.11,"Yes",NA,NA,"Not at all confident","Not at all confident","Not too committed","Not too confident","Not too confident","Not at all confident","Somewhat concerned","Somewhat confident","Strongly disapprove","Somewhat likely","Somewhat likely","Somewhat likely","Not too likely","Not too likely","Definitely should not adopt","Somewhat confident","Somewhat confident","Not too committed","Somewhat confident","Somewhat confident","Somewhat confident","Not too concerned","Somewhat confident","Somewhat safe",NA,"Not too likely","Not too likely","Somewhat likely","Not likely at all","Not too likely","Increase confidence a lot","Increase confidence a lot","No impact on confidence","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot","Increase confidence somewhat","No impact on confidence","No impact on confidence","Decrease confidence somewhat","No impact on confidence","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not likely at all","Not likely at all","Not likely at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","Unsure","False -- this is not the case at all","False -- this is not the case at all","False -- this is not the case at all","35","2","16","15","1","6","1","1","02474","Treatment","A",0,"Not_confident","Not_confident","not_committed","Not_confident","Not_confident","Not_confident","concerned","Confident","disapprove","Likely","Likely","Likely","Not_likely","Not_likely","oppose","Confident","Confident","not_committed","Confident","Confident","Confident","not_concerned","Confident","safe",NA,"Not_likely","Not_likely","Likely","Not_likely","Not_likely","increase","increase","no_impact","decrease","no_impact","decrease","increase","no_impact","no_impact","decrease","no_impact","no_impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","Increase confidence a lot","No impact on confidence","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot","Increase confidence somewhat","No impact on confidence","No impact on confidence","Decrease confidence somewhat","No impact on confidence","No impact on confidence","increase","increase","no_impact","decrease","no_impact","decrease","increase","no_impact","no_impact","decrease","no_impact","no_impact",1,1,0,0,0,0,1,0,0,0,0,0
"7",7,"R_7PpjHLzAFgm8clK","66d09ebf-3400-4355-9ded-01d192137135","Male","Male","No","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","No",NA,"Yes","I'm sure I didn't vote","Didn't vote",NA,"No","Republican","Republican","Not very strong",NA,NA,"Liberal",NA,"I consent, begin the study",46,"Yes, U.S. citizen by birth","Kentucky","Sometimes","Neither favorable nor unfavorable","Legitimate","About half of the time","Grape","Watermelon",NA,NA,16.067,"No","Somewhat confident","Somewhat confident","Not too committed","Not too confident","Somewhat confident","Very confident","Somewhat concerned","Not at all confident","Somewhat disapprove","Not likely at all","Very likely","Not too likely","Not too likely","Very likely","Definitely should not adopt","Somewhat confident","Very confident","Somewhat committed","Not too confident","Not at all confident","Somewhat confident","Not at all concerned","Not too confident","Not too safe","Strongly approve","Very likely","Not likely at all","Not too likely","Very likely","Very likely","Increase confidence a lot","No impact on confidence","No impact on confidence","Decrease confidence somewhat","Increase confidence a lot","Increase confidence a lot","Decrease confidence a lot","No impact on confidence","Decrease confidence a lot","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat likely","Very likely","Somewhat likely","True -- this is the case","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More false than true -- this is mostly not the case, but not completely false","More true than false -- this is mostly the case, but not completely true","50","2","1","1","1","1","5","3","40475","Control","A",1,"Confident","Confident","not_committed","Not_confident","Confident","Confident","concerned","Not_confident","disapprove","Not_likely","Likely","Not_likely","Not_likely","Likely","oppose","Confident","Confident","committed","Not_confident","Not_confident","Confident","not_concerned","Not_confident","unsafe","approve","Likely","Not_likely","Not_likely","Likely","Likely","increase","no_impact","no_impact","decrease","increase","increase","decrease","no_impact","decrease","decrease","no_impact","decrease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence a lot","No impact on confidence","No impact on confidence","Decrease confidence somewhat","Increase confidence a lot","Increase confidence a lot","Decrease confidence a lot","No impact on confidence","Decrease confidence a lot","Decrease confidence somewhat","No impact on confidence","Decrease confidence a lot","increase","no_impact","no_impact","decrease","increase","increase","decrease","no_impact","decrease","decrease","no_impact","decrease",1,0,0,0,1,1,0,0,0,0,0,0
"8",8,"R_1G3ZtCa1EIgRpds","66d09e35-7168-4ffd-d513-da57e9c0ae7e","Male","Male","No","White or Caucasian","Bachelor's degree in college (4-year)","No",NA,"Yes","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Republican","Strong",NA,NA,"Conservative",NA,"I consent, begin the study",60,"Yes, U.S. citizen by birth","Virginia","Always","Neither favorable nor unfavorable","Legitimate","Some of the time","Watermelon",NA,NA,NA,28.308,"Yes","Somewhat confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Not too concerned","Somewhat confident","Somewhat approve","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Probably should adopt","Very confident","Very confident","Very committed","Very confident","Very confident","Very confident","Not too concerned","Somewhat confident","Very safe","Strongly approve","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely at all","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not too likely","Not too likely","Not too likely","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","True -- this is the case","60","1","15","1","1","6","10","3","24015","Control","A",1,"Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","approve","Likely","Likely","Likely","Likely","Likely","support","Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","safe","approve","Likely","Likely","Likely","Likely","Not_likely","increase","increase","increase","increase","increase","increase","increase","increase","increase","increase","increase","increase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","increase","increase","increase","increase","increase","increase","increase","increase","increase","increase","increase","increase",1,1,1,1,1,1,1,1,1,1,1,1
"9",9,"R_808LNeUuKTmXE2t","66d09e2c-e5a3-8a48-8daa-cb122cb0dd98","Male","Male","No","White or Caucasian","Associate degree in college (2-year)","No",NA,"No","Yes, I'm sure I voted","Voted","Donald Trump","Yes","Republican","Republican","Not very strong",NA,NA,"Conservative",NA,"I consent, begin the study",70,"Yes, U.S. citizen by birth","Minnesota","Most of the time","Somewhat unfavorable","Not legitimate","Most of the time","Watermelon",NA,24.701,"Yes",NA,NA,"Somewhat confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Not too concerned","Somewhat confident","Somewhat approve","Not too likely","Not too likely","Not too likely","Not too likely","Not too likely","Probably should adopt","Somewhat confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Not too concerned","Somewhat confident","Somewhat safe","Somewhat approve","Not too likely","Not too likely","Not too likely","Not too likely","Not too likely","Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Not too likely","Not too likely","Not too likely","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","70","1","14","1","1","3","4","2","55334","Treatment","A",1,"Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","approve","Not_likely","Not_likely","Not_likely","Not_likely","Not_likely","support","Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","safe","approve","Not_likely","Not_likely","Not_likely","Not_likely","Not_likely","increase","no_impact","increase","increase","no_impact","no_impact","increase","no_impact","no_impact","increase","no_impact","no_impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Increase confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","Increase confidence somewhat","No impact on confidence","No impact on confidence","increase","no_impact","increase","increase","no_impact","no_impact","increase","no_impact","no_impact","increase","no_impact","no_impact",1,0,1,1,0,0,1,0,0,1,0,0
"10",10,"R_7OTyKBibMoIoPkA","66d09e57-93f2-819b-b6b4-217e4fd1cab2","Male","Male","No","White or Caucasian","High school graduate (high school diploma or equivalent including GED)","No",NA,"Yes","I was not eligible to vote","Unsure/Ineligible",NA,"Undecided","Republican","Republican","Not very strong",NA,NA,"Moderate: middle of the road",NA,"I consent, begin the study",59,"Yes, U.S. citizen by birth","Kentucky","Sometimes","Somewhat favorable","Legitimate","Some of the time","Watermelon",NA,NA,NA,33.802,"Yes","Somewhat confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Not too concerned","Somewhat confident","Somewhat approve","Not too likely","Not too likely","Somewhat likely","Not too likely","Not too likely","Probably should adopt","Somewhat confident","Somewhat confident","Somewhat committed","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat concerned","Somewhat confident","Somewhat safe","Somewhat approve","Not too likely","Not too likely","Not too likely","Not too likely","Not too likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease confidence somewhat","No impact on confidence","Decrease confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","No","Not likely at all","Not likely at all","Not likely at all","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","More true than false -- this is mostly the case, but not completely true","59","1","1","1","1","2","9","3","42001","Control","B",1,"Confident","Confident","committed","Confident","Confident","Confident","not_concerned","Confident","approve","Not_likely","Not_likely","Likely","Not_likely","Not_likely","support","Confident","Confident","committed","Confident","Confident","Confident","concerned","Confident","safe","approve","Not_likely","Not_likely","Not_likely","Not_likely","Not_likely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"decrease","no_impact","decrease","decrease","decrease","decrease","no_impact","increase","decrease","increase","increase","increase","Decrease confidence somewhat","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Decrease confidence somewhat","Decrease confidence somewhat","No impact on confidence","Increase confidence somewhat","Increase confidence somewhat","Increase confidence somewhat","Decrease confidence somewhat","Increase confidence somewhat","decrease","decrease","decrease","no_impact","decrease","decrease","no_impact","increase","increase","increase","decrease","increase",0,0,0,0,0,0,0,1,1,1,0,1
