"","var","label_var","label_val","value"
"1","q1","Consent to Participate

2024 Current Events Survey  

 

This research is being conducted by Professor Michael Hanmer at the University of Maryland, College Park. We are inviting you to participate in this research project because you are at least 18 years old, and are a United States citizen. The purpose of this research project is to get your opinions about current events. The procedures involve answering a set of questions on a variety of topics related to current events, some of which have been in the news. You will also answer demographic questions, such as: what is the highest level of education you have completed? 

 

If you do not wish to answer a particular question, you may skip that question by clicking next. This survey should take about 10 minutes to complete. You will be compensated for your participation in this survey according to the reward listed on your invitation. There are no known risks associated with participating in this research project. There may be discomfort in answering some qu","I consent, begin the study; I do not consent, I do not wish to participate","1; 2"
"2","q2","What is your age?","18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90 or older","1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 67; 68; 69; 70; 71; 73"
"3","q3","Are you a citizen of the United States?","Yes, U.S. citizen by birth; Yes, U.S. citizen by naturalization; No, I am not a U.S. citizen","1; 2; 3"
"4","q4","50 States, D.C. and Puerto Rico","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; District of Columbia; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Puerto Rico; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming; I do not reside in the United States","1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52"
"5","q5","How often do you pay attention to what is going on in government and politics?","Never; Sometimes; About half the time; Most of the time; Always","-99; 1; 2; 3; 4; 5"
"6","q6","In general, how favorable or unfavorable is your impression of local election officials?","Strongly favorable; Somewhat favorable; Neither favorable nor unfavorable; Somewhat unfavorable; Strongly unfavorable","-99; 1; 2; 3; 4; 5"
"7","q7","Regardless of whom you supported in the 2020 election, do you think Joe Biden's election as president was legitimate, or was he not legitimately elected?","Legitimate; Not legitimate","-99; 1; 2"
"8","q8","Generally speaking, how often can you trust other people?","Always; Most of the time; About half of the time; Some of the time; Never","1; 2; 3; 4; 5"
"9","q9","To ensure the accuracy of our survey data, we need to confirm that you are a real person. To confirm that you are a real person, please select ""Watermelon"" from the list below.","Grape; Watermelon","0; 1"
"10","q10","Your response to the last question was not correct. We would like to give you a chance to reconsider.
To confirm that you are a real person, please select ""Watermelon"" from the list below.","Grape; Watermelon","0; 1"
